2026-06-17 15:35:24,931 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,936 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,939 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,944 INFO Added job "send_morning_messages" to job store "default"
2026-06-17 15:35:24,945 INFO Added job "check_task_notifications" to job store "default"
2026-06-17 15:35:24,946 INFO Added job "check_reminders" to job store "default"
2026-06-17 15:35:24,947 INFO Scheduler started
2026-06-17 15:35:24,947 INFO Notification scheduler started (Asia/Tashkent timezone)
2026-06-17 15:35:24,948 INFO Bot ishga tushdi...
2026-06-17 15:35:24,949 INFO Start polling
2026-06-17 15:35:25,362 INFO Run polling for bot @Mars_F2_1985_bot id=8218372259 - 'dars_uchun'
2026-06-17 21:11:24,133 WARNING Sleep for 3.824968 seconds and try again... (tryings = 5, bot id = 8218372259)
2026-06-17 21:11:24,945 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:12:24 +05)" (scheduled at 2026-06-17 21:11:24.936401+05:00)
2026-06-17 21:11:24,945 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:12:24 +05)" (scheduled at 2026-06-17 21:11:24.939426+05:00)
2026-06-17 21:11:24,950 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:12:24 +05)" executed successfully
2026-06-17 21:11:24,950 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:12:24 +05)" executed successfully
2026-06-17 21:11:38,269 INFO Connection established (tryings = 6, bot id = 8218372259)
2026-06-17 21:12:24,955 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:13:24 +05)" (scheduled at 2026-06-17 21:12:24.936401+05:00)
2026-06-17 21:12:24,963 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:13:24 +05)" (scheduled at 2026-06-17 21:12:24.939426+05:00)
2026-06-17 21:12:24,971 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:13:24 +05)" executed successfully
2026-06-17 21:12:24,971 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:13:24 +05)" executed successfully
2026-06-17 21:13:24,945 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:14:24 +05)" (scheduled at 2026-06-17 21:13:24.936401+05:00)
2026-06-17 21:13:24,953 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:14:24 +05)" (scheduled at 2026-06-17 21:13:24.939426+05:00)
2026-06-17 21:13:24,962 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:14:24 +05)" executed successfully
2026-06-17 21:13:24,963 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:14:24 +05)" executed successfully
2026-06-17 21:14:24,945 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:15:24 +05)" (scheduled at 2026-06-17 21:14:24.936401+05:00)
2026-06-17 21:14:24,956 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:15:24 +05)" (scheduled at 2026-06-17 21:14:24.939426+05:00)
2026-06-17 21:14:24,971 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:15:24 +05)" executed successfully
2026-06-17 21:14:24,974 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:15:24 +05)" executed successfully
2026-06-17 21:15:24,953 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:16:24 +05)" (scheduled at 2026-06-17 21:15:24.936401+05:00)
2026-06-17 21:15:24,964 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:16:24 +05)" (scheduled at 2026-06-17 21:15:24.939426+05:00)
2026-06-17 21:15:25,003 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:16:24 +05)" executed successfully
2026-06-17 21:15:25,007 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:16:24 +05)" executed successfully
2026-06-17 21:16:25,081 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:17:24 +05)" (scheduled at 2026-06-17 21:16:24.936401+05:00)
2026-06-17 21:16:25,158 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:17:24 +05)" (scheduled at 2026-06-17 21:16:24.939426+05:00)
2026-06-17 21:16:25,355 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:17:24 +05)" executed successfully
2026-06-17 21:16:25,366 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:17:24 +05)" executed successfully
2026-06-17 21:17:24,975 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:18:24 +05)" (scheduled at 2026-06-17 21:17:24.936401+05:00)
2026-06-17 21:17:25,002 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:18:24 +05)" (scheduled at 2026-06-17 21:17:24.939426+05:00)
2026-06-17 21:17:25,078 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:18:24 +05)" executed successfully
2026-06-17 21:17:25,078 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:18:24 +05)" executed successfully
2026-06-17 21:18:24,952 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:19:24 +05)" (scheduled at 2026-06-17 21:18:24.936401+05:00)
2026-06-17 21:18:24,955 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:19:24 +05)" (scheduled at 2026-06-17 21:18:24.939426+05:00)
2026-06-17 21:18:24,964 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:19:24 +05)" executed successfully
2026-06-17 21:18:24,966 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:19:24 +05)" executed successfully
2026-06-17 21:19:24,963 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:20:24 +05)" (scheduled at 2026-06-17 21:19:24.936401+05:00)
2026-06-17 21:19:24,965 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:20:24 +05)" (scheduled at 2026-06-17 21:19:24.939426+05:00)
2026-06-17 21:19:24,973 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:20:24 +05)" executed successfully
2026-06-17 21:19:24,974 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:20:24 +05)" executed successfully
2026-06-17 21:20:24,951 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:21:24 +05)" (scheduled at 2026-06-17 21:20:24.936401+05:00)
2026-06-17 21:20:24,951 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:21:24 +05)" (scheduled at 2026-06-17 21:20:24.939426+05:00)
